,coordinates,industries,smog,time,traffic
0,"['33.6423111', '72.99015504']",0,526.0,0.0,1.30902777778
1,"['33.6423111', '72.99015504']",0,273.0,0.0,1.30902777778
2,"['33.6423111', '72.99015504']",0,512.0,0.0,1.30902777778
3,"['33.6423111', '72.99015504']",0,252.0,0.0,1.30902777778
4,"['33.6423111', '72.99015504']",0,252.0,0.0,1.30902777778
5,"['33.6423111', '72.99015504']",0,365.0,0.0,1.30902777778
6,"['33.6423111', '72.99015504']",0,251.0,0.0,1.30902777778
7,"['33.65669429', '72.99504623']",0,224.0,0.0,6.00675675676
8,"['33.65669627', '72.99504385']",0,228.0,0.0,6.00675675676
9,"['33.65669596', '72.99504514']",0,225.0,0.0,6.00675675676
10,"['33.65669621', '72.99504405']",0,226.0,0.0,6.00675675676
11,"['33.6750907', '73.01397164']",0,372.0,0.0,2.85606060606
12,"['33.67470984', '73.01427799']",0,375.0,0.0,2.52272727273
13,"['33.67546255', '73.01366267']",0,368.0,0.0,4.60833333333
14,"['33.67533454', '73.01376343']",0,368.0,0.0,2.13106060606
15,"['33.67579931', '73.01339191']",0,368.0,0.0,0.517932692308
16,"['33.67585362', '73.01334506']",0,368.0,0.0,1.02569489334
17,"['33.67588369', '73.0133161']",0,366.0,0.0,2.01181304571
18,"['33.67594011', '73.01345468']",0,376.0,0.0,1.27828952094
19,"['33.67590859', '73.0133454']",0,375.0,0.0,2.00998463902
20,"['33.6759291', '73.01337005']",0,379.0,0.0,2.26541666667
21,"['33.67592369', '73.01347703']",0,374.0,0.0,1.28331801471
22,"['33.6749655', '73.0140767']",0,375.0,0.0,2.85606060606
23,"['33.67590598', '73.01348898']",0,373.0,0.0,2.39565826331
24,"['33.67591186', '73.01349043']",0,371.0,0.0,2.39565826331
25,"['33.67591619', '73.01348963']",0,361.0,0.0,1.28325791855
26,"['33.67565978', '73.01349724']",0,370.0,0.0,3.35697565543
27,"['33.67591882', '73.01347919']",0,364.0,0.0,1.28331801471
28,"['33.65258604', '72.9604067']",0,552.0,0.0,2.53835227273
29,"['33.65258604', '72.9604067']",0,543.0,0.0,2.53835227273
30,"['33.65258604', '72.9604067']",0,779.0,0.0,2.53835227273
31,"['33.65258604', '72.9604067']",0,558.0,0.0,2.53835227273
32,"['33.65258604', '72.9604067']",0,569.0,0.0,2.53835227273
33,"['33.65244903', '72.95999121']",0,517.0,0.0,0.0767045454545
34,"['33.65258604', '72.9604067']",0,524.0,0.0,2.53835227273
35,"['33.65244903', '72.95999121']",0,513.0,0.0,0.0767045454545
36,"['33.65258604', '72.9604067']",0,533.0,0.0,2.53835227273
37,"['33.65244903', '72.95999121']",0,506.0,0.0,0.0767045454545
38,"['33.65251712', '72.96045111']",0,309.0,0.0,0.0780581550802
39,"['33.65251712', '72.96045111']",0,308.0,0.0,0.0780581550802
40,"['33.65255679', '72.96043479']",0,306.0,0.0,2.53835227273
41,"['33.65255757', '72.96043423']",0,308.0,0.0,2.53835227273
42,"['33.65251712', '72.96045111']",0,306.0,0.0,0.0780581550802
43,"['33.65255679', '72.96043479']",0,307.0,0.0,2.53835227273
44,"['33.65255679', '72.96043479']",0,308.0,0.0,2.53835227273
45,"['33.65255679', '72.96043479']",0,308.0,0.0,2.53835227273
46,"['33.65255679', '72.96043479']",0,305.0,0.0,2.53835227273
47,"['33.65255679', '72.96043479']",0,307.0,0.0,2.53835227273
48,"['33.65255679', '72.96043479']",0,305.0,0.0,2.53835227273
49,"['33.65255679', '72.96043479']",0,306.0,0.0,2.53835227273
50,"['33.65255679', '72.96043479']",0,306.0,0.0,2.53835227273
51,"['33.65255679', '72.96043479']",0,305.0,0.0,2.53835227273
52,"['33.65255679', '72.96043479']",0,305.0,0.0,2.53835227273
53,"['33.65255679', '72.96043479']",0,306.0,0.0,2.53835227273
54,"['33.65255679', '72.96043479']",0,305.0,0.0,2.53835227273
55,"['33.65231371', '72.96051608']",0,296.0,0.0,0.0794117647059
56,"['33.65231371', '72.96051608']",0,295.0,0.0,0.0794117647059
57,"['33.65231371', '72.96051608']",0,295.0,0.0,0.0794117647059
58,"['33.65231371', '72.96051608']",0,295.0,0.0,0.0794117647059
59,"['33.65242354', '72.96050927']",0,298.0,0.0,1.30441176471
60,"['33.65242328', '72.96050985']",0,295.0,0.0,1.30441176471
61,"['33.6524236', '72.96050903']",0,297.0,0.0,0.0
62,"['33.65242309', '72.96051039']",0,295.0,0.0,1.30441176471
63,"['33.6524236', '72.96050897']",0,299.0,0.0,1.30441176471
64,"['33.6442031', '72.98761948']",0,191.0,0.0,4.02272727273
65,"['33.64419443', '72.98760974']",0,172.0,0.0,4.02083333333
66,"['33.64419443', '72.98760974']",0,171.0,0.0,4.02083333333
67,"['33.64420308', '72.98761947']",0,191.0,0.0,4.02272727273
68,"['33.64420304', '72.98761948']",0,189.0,0.0,4.02272727273
69,"['33.64419553', '72.98761889']",0,170.0,0.0,4.02272727273
70,"['33.64419443', '72.98760974']",0,171.0,0.0,4.02083333333
71,"['33.64419443', '72.98760974']",0,171.0,0.0,4.02083333333
72,"['33.64420306', '72.98761947']",0,191.0,0.0,4.02272727273
73,"['33.64419693', '72.98761968']",0,171.0,0.0,4.02272727273
74,"['33.64419675', '72.98761892']",0,170.0,0.0,4.02272727273
75,"['33.64419695', '72.98761978']",0,168.0,0.0,4.02272727273
76,"['33.64419802', '72.9876198']",0,168.0,0.0,4.02272727273
77,"['33.64419484', '72.98761937']",0,170.0,0.0,4.02272727273
78,"['33.64419793', '72.9876201']",0,169.0,0.0,4.02272727273
79,"['33.64419696', '72.9876197']",0,170.0,0.0,4.02272727273
80,"['33.64419778', '72.98761959']",0,169.0,0.0,4.02272727273
81,"['33.64419699', '72.98761972']",0,168.0,0.0,4.02272727273
82,"['33.64419729', '72.98761928']",0,166.0,0.0,4.02272727273
83,"['33.64419724', '72.98761934']",0,168.0,0.0,0.0
84,"['33.64419656', '72.98762002']",0,169.0,0.0,4.02272727273
85,"['33.64419673', '72.9876198']",0,166.0,0.0,4.02272727273
86,"['33.64419693', '72.98761966']",0,170.0,0.0,4.02272727273
87,"['33.64419661', '72.98761993']",0,167.0,0.0,4.02272727273
88,"['33.64419671', '72.98761983']",0,167.0,0.0,4.02272727273
89,"['33.64419698', '72.98761957']",0,166.0,0.0,4.02272727273
90,"['33.64419704', '72.98761955']",0,170.0,0.0,4.02272727273
91,"['33.64419654', '72.98762007']",0,168.0,0.0,4.02272727273
92,"['33.64419659', '72.98761997']",0,165.0,0.0,4.02272727273
93,"['33.64419651', '72.98762009']",0,172.0,0.0,4.02272727273
94,"['33.64419658', '72.98762001']",0,169.0,0.0,4.02272727273
95,"['33.64419654', '72.98762005']",0,170.0,0.0,4.02272727273
96,"['33.64419655', '72.98762003']",0,163.0,0.0,4.02272727273
97,"['33.64419666', '72.98761989']",0,171.0,0.0,4.02272727273
98,"['33.64419653', '72.9876201']",0,173.0,0.0,4.02272727273
99,"['33.64419648', '72.98762014']",0,175.0,0.0,4.02272727273
100,"['33.64419642', '72.98762018']",0,182.0,0.0,4.02272727273
101,"['33.64419641', '72.98762018']",0,178.0,0.0,4.02272727273
102,"['33.64419646', '72.98762017']",0,176.0,0.0,4.02272727273
103,"['33.6441964', '72.98762017']",0,180.0,0.0,4.02272727273
104,"['33.64419644', '72.98762018']",0,183.0,0.0,4.02272727273
