Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AerO2.PrjPcb|ReportField=ProjectFullPath~D:\Documents\Altium\AerO2\AerO2\AerO2.PrjPcb|ReportField=Title~Bill of Materials For Project [AerO2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~12|ReportField=ReportTime~1:40:05 PM|ReportField=ReportDate~14/04/2016|ReportField=ReportDateTime~14/04/2016 1:40:05 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14/04/2016|ReportField=CurrentTime~12:46:32 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Documents\Altium\AerO2\AerO2\AerO2.SchDoc|ReportField=DocumentName~AerO2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14/04/2016|ReportField=Organization~|ReportField=ProjectName~AerO2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AerO2.PrjPcb|ReportField=DataSourceFullPath~D:\Documents\Altium\AerO2\AerO2\AerO2.PrjPcb
1|LED0|Typical INFRARED GaAs LED|D1|LED-0|LED0|1
2|Power|Header, 2-Pin|P1|HDR1X2|Header 2|1
3|MQ5|Header, 3-Pin|P2|HDR1X3|Header 3|1
4|MQ9|Header, 3-Pin|P3|HDR1X3|Header 3|1
5|BT|Header, 4-Pin|P4|HDR1X4|Header 4|1
6|NMOS-2|N-Channel Power MOSFET|Q1, Q2|TO-220AB|NMOS-2|2
7|Volt Reg|N-Channel Power MOSFET|Q3|TO-220AB|NMOS-2|1
8|Res1|Resistor|R1, R2|AXIAL-0.3|Res1|2
9|SW-PB|Switch|S1|SPST-2|SW-PB|1
10|ATmega328P-PU|8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)|U1|28P3|ATmega328P-PU|1
